id,precision,recall,f1-score,support
 0,0.99,0.95,0.97,719
 1,1.00,0.43,0.61, 23
 2,1.00,0.64,0.78, 14
 3,0.95,0.60,0.73, 30
 4,0.88,0.39,0.54, 18
 5,0.00,0.00,0.00,  1
 6,1.00,0.94,0.97, 18
 7,1.00,0.50,0.67,  2
 8,0.00,0.00,0.00,  3
 9,0.96,0.96,0.96, 28
 10,1.00,0.78,0.88, 18
 11,0.00,0.00,0.00,  1
 12,0.95,0.71,0.82, 56
 13,1.00,0.50,0.67, 20
 14,0.00,0.00,0.00,  2
 15,0.92,0.43,0.59, 28
 16,0.00,0.00,0.00,  1
 17,0.91,0.81,0.86,189
 18,0.00,0.00,0.00,  1
 19,0.85,0.66,0.74, 44
 20,0.00,0.00,0.00,  4
 21,0.99,0.98,0.99,1087
 22,1.00,0.20,0.33, 10
 23,1.00,0.53,0.69, 17
 24,1.00,0.80,0.89, 35
 25,0.92,0.73,0.81, 30
 26,0.98,0.81,0.89,149
 27,0.00,0.00,0.00,  4
 28,0.00,0.00,0.00,  1
 29,1.00,0.60,0.75,  5
 30,1.00,0.33,0.50,  6
 31,1.00,0.75,0.86,  4
 32,1.00,0.43,0.60,  7
 33,0.00,0.00,0.00,  1
 34,0.88,0.66,0.75,131
 35,1.00,0.83,0.91, 12
 36,0.75,0.64,0.69, 14
 37,0.00,0.00,0.00,  1
 38,0.92,0.57,0.71, 21
 39,0.00,0.00,0.00,  2
 40,0.00,0.00,0.00, 14
 41,1.00,1.00,1.00,  3
 42,0.00,0.00,0.00,  1
 43,0.69,0.38,0.49, 24
 44,0.00,0.00,0.00,  6
 45,1.00,0.16,0.27, 19
 46,0.81,0.73,0.76,179
 47,0.89,0.74,0.81, 34
 48,0.00,0.00,0.00,  4
 49,0.74,0.47,0.57, 30
 50,0.00,0.00,0.00,  1
 51,0.00,0.00,0.00,  2
 52,0.00,0.00,0.00,  2
 53,1.00,0.17,0.29,  6
 54,0.79,0.47,0.59, 47
 55,1.00,0.45,0.62, 11
 56,0.00,0.00,0.00,  1
 57,1.00,0.60,0.75, 10
 58,0.00,0.00,0.00,  1
 59,0.00,0.00,0.00, 12
 60,0.00,0.00,0.00,  7
 61,1.00,0.33,0.50,  3
 62,0.00,0.00,0.00,  3
 63,0.00,0.00,0.00,  1
 64,0.00,0.00,0.00,  3
 65,1.00,0.44,0.62,  9
 66,0.91,0.56,0.69, 18
 67,1.00,0.50,0.67,  2
 68,0.88,0.29,0.44, 24
 69,1.00,0.75,0.86, 12
 70,0.00,0.00,0.00,  1
 71,0.89,0.63,0.74, 89
 72,0.00,0.00,0.00,  8
 73,0.75,0.30,0.43, 10
 74,1.00,0.15,0.27, 13
 75,0.00,0.00,0.00, 11
 76,0.83,0.45,0.59, 33
 77,0.00,0.00,0.00, 11
 78,0.96,0.72,0.83, 36
 79,0.00,0.00,0.00,  1
 80,0.00,0.00,0.00,  2
 81,1.00,0.20,0.33,  5
 82,0.00,0.00,0.00,  4
 83,1.00,0.58,0.74, 12
 84,0.87,0.75,0.81,117
 85,0.94,0.43,0.59, 37
 86,0.93,0.75,0.83, 71
 87,1.00,0.60,0.75, 10
 88,0.00,0.00,0.00, 14
 89,1.00,0.46,0.63, 13
